dx32_id,kk,ss,bb,pp,log10(period)
0,5,2,1010152,2147483647,46.7
1,6,2,1010233,2147483647,56
2,7,2,1010167,2147483647,65.3
3,8,2,1010661,2147483647,74.7
4,9,2,1010274,2147483647,84
5,10,2,1010571,2147483647,93.3
6,11,2,1010397,2147483647,102.7
7,12,2,1010866,2147483647,112
8,13,2,1010667,2147483647,121.3
9,14,2,1010568,2147483647,130.6
10,15,2,1010677,2147483647,140
11,16,2,1011236,2147483647,149.3
12,17,2,1010547,2147483647,158.6
13,18,2,1010715,2147483647,168
14,19,2,1011385,2147483647,177.3
15,20,2,1011093,2147483647,186.6
16,21,2,1010675,2147483647,196
17,22,2,1010598,2147483647,205.3
18,23,2,1010738,2147483647,214.6
19,24,2,1011139,2147483647,224
20,47,1,46193,2147483647,438.6
21,47,1,1047811,2147483647,438.6
22,47,1,1073741241,2147483647,438.6
23,47,2,46312,2147483647,438.6
24,47,2,1048423,2147483647,438.6
25,47,2,1073741549,2147483647,438.6
26,101,1,1047967,2147482949,942.5
27,101,1,1047864,2147400803,942.5
28,101,1,1073678105,2147400803,942.5
29,101,2,1048244,2147482949,942.5
30,101,2,1048093,2147400803,942.5
31,101,2,1073677156,2147400803,942.5
32,102,1,46329,2147483647,951.9
33,102,1,1048554,2147483647,951.9
34,102,1,1049088,2147483647,951.9
35,102,1,536871424,2147483647,951.9
36,102,1,1107296256,2147483647,951.9
37,102,2,45787,2147483647,951.9
38,102,2,1047849,2147483647,951.9
39,102,2,1114112,2147483647,951.9
40,102,2,1077936128,2147483647,951.9
41,120,1,44771,2147483647,1119.8
42,120,1,1047690,2147483647,1119.8
43,120,1,62914560,2147483647,1119.8
44,120,1,268369920,2147483647,1119.8
45,120,2,46213,2147483647,1119.8
46,120,2,1048555,2147483647,1119.8
47,120,2,1049088,2147483647,1119.8
48,120,2,268369920,2147483647,1119.8
49,211,1,1048410,2147474809,1969
50,211,1,1047749,2146642319,1969
51,211,1,1073721711,2146642319,1969
52,211,2,1047715,2147474809,1969
53,211,2,1044526,2146642319,1969
54,211,2,1073719650,2146642319,1969
55,307,1,1048226,2147480369,2864.9
56,307,1,1045846,2147431103,2864.9
57,307,1,1073691791,2147431103,2864.9
58,307,2,1048575,2147480369,2864.9
59,307,2,1047799,2147431103,2864.9
60,307,2,1073692149,2147431103,2864.9
61,401,1,1048434,2147441963,3742.1
62,401,1,1048196,2147426459,3742.1
63,401,1,1073689547,2147426459,3742.1
64,401,2,1048082,2147441963,3742.1
65,401,2,1033380,2147426459,3742.1
66,401,2,1073689977,2147426459,3742.1
67,503,1,1048125,2147480011,4694
68,503,1,1048331,2147309159,4693.9
69,503,1,1073720383,2147309159,4693.9
70,503,2,1047349,2147480011,4694
71,503,2,1022698,2147309159,4693.9
72,503,2,1073679109,2147309159,4693.9
73,601,1,1046793,2147482501,5608.5
74,601,1,1043822,2146156163,5608.3
75,601,1,1073719452,2146156163,5608.3
76,601,2,1046365,2147482501,5608.5
77,601,2,1042172,2146156163,5608.3
78,601,2,1073712188,2146156163,5608.3
79,643,1,42720,2147483647,6000.4
80,643,1,1047252,2147483647,6000.4
81,643,1,1073741462,2147483647,6000.4
82,643,2,39963,2147483647,6000.4
83,643,2,1048207,2147483647,6000.4
84,643,2,1073733589,2147483647,6000.4
85,647,1,1047675,2147465153,6037.8
86,647,2,1048258,2147465153,6037.8
87,701,1,1041280,2147467801,6541.7
88,701,1,1046874,2147262983,6541.7
89,701,1,1073717689,2147262983,6541.7
90,701,2,1042667,2147467801,6541.7
91,701,2,1040476,2147262983,6541.7
92,701,2,1073680615,2147262983,6541.7
93,809,1,1048301,2147482949,7549.5
94,809,1,1043034,2145472859,7549.2
95,809,1,1073719786,2145472859,7549.2
96,809,2,1044516,2147482949,7549.5
97,809,2,985209,2145472859,7549.2
98,809,2,1073706375,2145472859,7549.2
99,907,1,1047040,2147474837,8464.1
100,907,1,1046522,2143082759,8463.3
101,907,1,1073721128,2143082759,8463.3
102,907,2,1044922,2147474837,8464.1
103,907,2,1032051,2143082759,8463.3
104,907,2,1073718871,2143082759,8463.3
105,1009,1,1042292,2147375669,9415.9
106,1009,1,1045259,2145114779,9415.4
107,1009,1,1073716427,2145114779,9415.4
108,1009,2,1042044,2147375669,9415.9
109,1009,2,1014011,2145114779,9415.4
110,1009,2,1073683017,2145114779,9415.4
111,1103,1,1047068,2147365573,10293.1
112,1103,1,1045590,2140167287,10291.5
113,1103,1,1073708831,2140167287,10291.5
114,1103,2,1045783,2147365573,10293.1
115,1103,2,1028217,2140167287,10291.5
116,1103,2,1073718798,2140167287,10291.5
117,1201,1,1047329,2147469491,11207.6
118,1201,1,1044395,2146369943,11207.4
119,1201,1,1073711360,2146369943,11207.4
120,1201,2,1047673,2147469491,11207.6
121,1201,2,1034308,2146369943,11207.4
122,1201,2,1073634611,2146369943,11207.4
123,1301,1,1047857,2147472413,12140.8
124,1301,1,1038695,2146412747,12140.6
125,1301,1,1073714389,2146412747,12140.6
126,1301,2,1046381,2147472413,12140.8
127,1301,2,1019650,2146412747,12140.6
128,1301,2,1073694173,2146412747,12140.6
129,1409,1,1044763,2147357701,13148.7
130,1409,1,1023942,2143163459,13147.5
131,1409,1,1073721338,2143163459,13147.5
132,1409,2,1044367,2147357701,13148.7
133,1409,2,1015803,2143163459,13147.5
134,1409,2,1073653955,2143163459,13147.5
135,1511,1,1039739,2147427929,14100.5
136,1511,1,1027601,2144712443,14099.7
137,1511,1,1073703279,2144712443,14099.7
138,1511,2,1044771,2147427929,14100.5
139,1511,2,1033442,2144712443,14099.7
140,1511,2,1073711638,2144712443,14099.7
141,1597,1,19661,2147483647,14903.1
142,1597,1,1036675,2147483647,14903.1
143,1597,1,1073740265,2147483647,14903.1
